iter	Passed	Remaining
172	251	1200
173	251	1195
174	252	1189
175	253	1185
176	253	1180
177	254	1175
178	255	1170
179	255	1165
180	256	1159
181	256	1154
182	257	1149
183	258	1144
184	258	1139
185	259	1134
186	259	1129
187	260	1124
188	261	1120
189	261	1115
190	262	1110
191	262	1105
192	263	1101
193	263	1096
194	264	1092
195	265	1088
196	265	1084
197	266	1079
198	267	1075
199	267	1070
200	268	1066
201	268	1061
202	269	1057
203	269	1053
204	270	1048
205	271	1044
206	271	1040
207	272	1035
208	272	1031
209	273	1027
210	273	1023
211	274	1019
212	274	1015
213	275	1011
214	275	1007
215	276	1003
216	277	999
217	277	996
218	278	992
219	278	988
220	279	984
221	279	980
222	280	976
223	280	973
224	281	969
225	282	965
226	282	962
227	283	959
228	283	955
229	284	952
230	284	948
231	285	945
232	286	941
233	286	938
234	287	934
235	287	931
236	288	927
237	288	924
238	289	921
239	290	918
240	290	916
241	291	913
242	292	910
243	292	907
244	293	904
245	293	900
246	294	897
247	295	894
248	295	892
249	296	889
250	297	886
251	297	883
252	298	880
253	298	877
254	299	874
255	299	871
256	300	868
257	300	865
258	301	862
259	302	859
260	302	857
261	303	854
262	303	851
263	304	848
264	304	845
265	305	842
266	305	839
267	306	837
268	306	834
269	307	831
270	308	828
271	308	826
272	309	823
273	309	821
274	310	818
275	310	815
276	311	812
277	311	809
278	312	807
279	312	804
280	313	802
281	314	799
282	314	796
283	315	794
284	315	791
285	316	789
286	316	786
287	317	784
288	317	782
289	318	779
290	319	777
291	319	774
292	320	772
293	320	770
294	321	768
295	321	765
296	322	763
297	323	760
298	323	758
299	324	756
300	324	754
301	325	751
302	325	749
303	326	747
304	326	744
305	327	742
306	328	740
307	328	738
308	329	736
309	329	733
310	330	731
311	330	729
312	331	727
313	331	725
314	332	723
315	333	721
316	333	719
317	334	716
318	334	714
319	335	712
320	335	710
321	336	708
322	337	706
323	337	704
324	338	702
325	339	701
326	339	699
327	340	697
328	341	696
329	341	694
330	342	692
331	342	690
332	343	688
333	344	686
334	344	684
335	345	682
336	346	680
337	346	678
338	347	677
339	347	675
340	348	673
341	348	671
342	349	669
343	350	667
344	350	665
345	351	664
346	352	662
347	352	660
348	353	658
349	353	656
350	354	655
351	354	653
352	355	651
353	356	649
354	356	647
355	357	646
356	357	644
357	358	642
358	359	641
359	359	639
360	360	637
361	360	635
362	361	634
363	362	632
364	362	630
365	363	629
366	363	627
367	364	625
368	364	623
369	365	622
370	365	620
371	366	618
372	366	616
373	367	615
374	368	613
375	368	611
376	369	610
377	369	608
378	370	606
379	371	605
380	371	603
381	372	602
382	372	600
383	373	598
384	373	597
385	374	595
386	375	594
387	375	592
388	376	590
389	376	589
390	377	587
391	377	586
392	378	584
393	379	583
394	379	581
395	380	580
396	380	578
397	381	576
398	382	575
399	382	574
400	383	572
401	384	571
402	384	570
403	385	568
404	386	567
405	386	565
406	387	564
407	387	562
408	388	561
409	389	560
410	389	558
411	390	557
412	391	555
413	391	554
414	392	552
415	392	551
416	393	549
417	393	548
418	394	546
419	395	545
420	395	544
421	396	542
422	396	541
423	397	539
424	397	538
425	398	536
426	398	534
427	399	533
428	399	532
429	400	530
430	400	529
431	401	527
432	402	526
433	402	524
434	403	523
435	403	522
436	404	520
437	404	519
438	405	517
439	405	516
440	406	514
441	406	513
442	407	512
443	407	510
444	408	509
445	408	507
446	409	506
447	409	505
448	410	503
449	410	502
450	411	500
451	411	499
452	412	497
453	412	496
454	413	495
455	413	493
456	414	492
457	414	490
458	415	489
459	415	488
460	416	486
461	416	485
462	417	484
463	417	482
464	418	481
465	419	480
466	420	479
467	420	478
468	421	476
469	421	475
470	422	474
471	422	472
472	423	471
473	423	470
474	424	469
475	425	467
476	425	466
477	426	465
478	427	464
479	427	463
480	428	462
481	428	460
482	429	459
483	430	458
484	430	457
485	431	456
486	431	455
487	432	453
488	433	452
489	434	451
490	434	450
491	435	449
492	435	448
493	436	446
494	436	445
495	437	444
496	438	443
497	438	442
498	439	441
499	439	439
500	440	438
501	441	437
502	441	436
503	442	435
504	442	434
505	443	432
506	444	431
507	444	430
508	445	429
509	445	428
510	446	427
511	446	425
512	447	424
513	448	423
514	448	422
515	449	421
516	449	420
517	450	419
518	451	418
519	451	416
520	452	415
521	452	414
522	453	413
523	453	412
524	454	411
525	455	410
526	455	409
527	456	407
528	456	406
529	457	405
530	458	404
531	458	403
532	459	402
533	459	401
534	460	400
535	460	399
536	461	397
537	462	396
538	462	395
539	463	394
540	463	393
541	464	392
542	465	391
543	465	390
544	466	389
545	466	388
546	467	387
547	468	386
548	468	385
549	469	384
550	470	383
551	471	382
552	471	381
553	472	380
554	472	379
555	473	377
556	473	376
557	474	375
558	475	374
559	475	373
560	476	372
561	476	371
562	477	370
563	478	369
564	478	368
565	479	367
566	479	366
567	480	365
568	480	364
569	481	363
570	481	361
571	482	360
572	482	359
573	483	358
574	484	357
575	484	356
576	485	355
577	485	354
578	486	353
579	486	352
580	487	351
581	488	350
582	488	349
583	489	348
584	489	347
585	490	346
586	490	345
587	491	344
588	491	343
589	492	342
590	492	341
591	493	340
592	494	339
593	494	338
594	495	337
595	495	336
596	496	335
597	496	334
598	497	333
599	498	332
600	498	331
601	499	330
602	500	329
603	500	328
604	501	327
605	501	326
606	503	325
607	507	326
608	508	326
609	509	325
610	511	325
611	514	326
612	515	325
613	516	324
614	517	324
615	518	323
616	520	323
617	521	322
618	522	321
619	523	320
620	524	319
621	524	319
622	525	318
623	526	317
624	527	316
625	528	315
626	529	315
627	531	314
628	532	313
629	532	312
630	533	311
631	534	310
632	534	310
633	535	309
634	537	308
635	537	307
636	538	306
637	539	306
638	540	305
639	540	304
640	541	303
641	543	302
642	544	302
643	544	301
644	545	300
645	546	299
646	546	298
647	547	297
648	548	296
649	549	295
650	549	294
651	550	293
652	550	292
653	551	291
654	551	290
655	552	289
656	553	288
657	553	287
658	554	286
659	555	286
660	555	285
661	556	284
662	557	283
663	557	282
664	558	281
665	559	280
666	560	279
667	560	278
668	561	277
669	562	277
670	563	276
671	564	275
672	565	274
673	566	273
674	566	272
675	567	272
676	568	271
677	569	270
678	570	269
679	571	268
680	571	267
681	572	267
682	573	266
683	574	265
684	574	264
685	575	263
686	575	262
687	576	261
688	577	260
689	577	259
690	578	258
691	579	257
692	580	257
693	581	256
694	581	255
695	582	254
696	582	253
697	583	252
698	584	251
699	585	250
700	586	250
701	587	249
702	587	248
703	588	247
704	588	246
705	589	245
706	590	244
707	591	243
708	591	242
709	592	241
710	593	241
711	593	240
712	594	239
713	594	238
714	595	237
715	596	236
716	597	235
717	597	234
718	598	233
719	599	233
720	599	232
721	600	231
722	600	230
723	601	229
724	602	228
725	603	227
726	604	226
727	605	226
728	605	225
729	606	224
730	607	223
731	607	222
732	608	221
733	609	220
734	610	219
735	610	219
736	611	218
737	612	217
738	612	216
739	613	215
740	614	214
741	615	213
742	616	213
743	616	212
744	617	211
745	618	210
746	618	209
747	619	208
748	619	207
749	620	206
750	621	206
751	622	205
752	622	204
753	623	203
754	623	202
755	624	201
756	625	200
757	626	199
758	627	199
759	627	198
760	628	197
761	629	196
762	629	195
763	630	194
764	630	193
765	631	192
766	632	192
767	633	191
768	633	190
769	634	189
770	634	188
771	635	187
772	636	186
773	636	185
774	637	185
775	638	184
776	639	183
777	640	182
778	640	181
779	641	180
780	642	180
781	642	179
782	643	178
783	643	177
784	644	176
785	645	175
786	646	174
787	647	174
788	647	173
789	648	172
790	648	171
791	649	170
792	649	169
793	650	168
794	651	167
795	652	167
796	652	166
797	653	165
798	654	164
799	654	163
800	655	162
801	656	161
802	656	161
803	657	160
804	658	159
805	658	158
806	659	157
807	659	156
808	660	155
809	661	155
810	661	154
811	662	153
812	662	152
813	663	151
814	664	150
815	664	149
816	665	149
817	665	148
818	666	147
819	666	146
820	667	145
821	668	144
822	668	143
823	669	142
824	669	142
825	670	141
826	671	140
827	671	139
828	672	138
829	672	137
830	673	136
831	673	136
832	674	135
833	674	134
834	675	133
835	676	132
836	676	131
837	677	130
838	677	130
839	678	129
840	679	128
841	679	127
842	680	126
843	680	125
844	681	125
845	682	124
846	682	123
847	683	122
848	683	121
849	684	120
850	684	119
851	685	119
852	685	118
853	686	117
854	686	116
855	687	115
856	688	114
857	689	114
858	689	113
859	690	112
860	690	111
861	691	110
862	692	109
863	692	109
864	693	108
865	694	107
866	694	106
867	695	105
868	695	104
869	696	104
870	696	103
871	697	102
872	698	101
873	698	100
874	699	99
875	699	99
876	700	98
877	701	97
878	701	96
879	702	95
880	702	94
881	703	94
882	703	93
883	704	92
884	705	91
885	705	90
886	706	89
887	706	89
888	707	88
889	708	87
890	708	86
891	709	85
892	709	85
893	710	84
894	711	83
895	711	82
896	712	81
897	712	80
898	713	80
899	714	79
900	714	78
901	715	77
902	715	76
903	716	76
904	716	75
905	717	74
906	717	73
907	718	72
908	719	71
909	719	71
910	720	70
911	720	69
912	721	68
913	721	67
914	722	67
915	722	66
916	723	65
917	723	64
918	724	63
919	725	63
920	725	62
921	726	61
922	726	60
923	727	59
924	728	59
925	728	58
926	729	57
927	729	56
928	730	55
929	730	55
930	731	54
931	732	53
932	733	52
933	733	51
934	734	51
935	734	50
936	735	49
937	736	48
938	736	47
939	737	47
940	738	46
941	738	45
942	739	44
943	739	43
944	740	43
945	740	42
946	741	41
947	741	40
948	742	39
949	743	39
950	743	38
951	744	37
952	744	36
953	745	35
954	746	35
955	746	34
956	747	33
957	747	32
958	748	31
959	748	31
960	749	30
961	750	29
962	750	28
963	751	28
964	751	27
965	752	26
966	752	25
967	753	24
968	753	24
969	754	23
970	755	22
971	755	21
972	756	20
973	756	20
974	757	19
975	757	18
976	758	17
977	758	17
978	759	16
979	760	15
980	760	14
981	761	13
982	762	13
983	762	12
984	763	11
985	763	10
986	764	10
987	764	9
988	765	8
989	766	7
990	766	6
991	767	6
992	767	5
993	768	4
994	769	3
995	769	3
996	770	2
997	770	1
998	771	0
999	771	0
